tag,category,course_level,pattern,response
college_overview,College Information,General,tell me about the college,"Our college is a UGC-recognized institute offering undergraduate and postgraduate programs in Engineering, Computer Applications and Science, established with a vision to deliver quality, industry-relevant education."
college_overview,College Information,General,what is this college about,"Our college is a UGC-recognized institute offering undergraduate and postgraduate programs in Engineering, Computer Applications and Science, established with a vision to deliver quality, industry-relevant education."
college_overview,College Information,General,give college overview,"Our college is a UGC-recognized institute offering undergraduate and postgraduate programs in Engineering, Computer Applications and Science, established with a vision to deliver quality, industry-relevant education."
college_overview,College Information,General,college introduction,"Our college is a UGC-recognized institute offering undergraduate and postgraduate programs in Engineering, Computer Applications and Science, established with a vision to deliver quality, industry-relevant education."
college_overview,College Information,General,about your institute,"Our college is a UGC-recognized institute offering undergraduate and postgraduate programs in Engineering, Computer Applications and Science, established with a vision to deliver quality, industry-relevant education."
college_overview,College Information,General,what kind of college is this,"Our college is a UGC-recognized institute offering undergraduate and postgraduate programs in Engineering, Computer Applications and Science, established with a vision to deliver quality, industry-relevant education."
college_history,College Information,General,what is the history of the college,"The college was established in 2001 and has since grown into a multi-disciplinary campus offering B.Tech, BCA, B.Sc, M.Tech and MCA programs."
college_history,College Information,General,when was the college established,"The college was established in 2001 and has since grown into a multi-disciplinary campus offering B.Tech, BCA, B.Sc, M.Tech and MCA programs."
college_history,College Information,General,college founding year,"The college was established in 2001 and has since grown into a multi-disciplinary campus offering B.Tech, BCA, B.Sc, M.Tech and MCA programs."
college_history,College Information,General,how old is this college,"The college was established in 2001 and has since grown into a multi-disciplinary campus offering B.Tech, BCA, B.Sc, M.Tech and MCA programs."
college_history,College Information,General,college history please,"The college was established in 2001 and has since grown into a multi-disciplinary campus offering B.Tech, BCA, B.Sc, M.Tech and MCA programs."
vision_mission,College Information,General,what is the vision of the college,"Vision: To be a center of excellence in technical and higher education. Mission: To provide value-based education, foster innovation and prepare students for global careers."
vision_mission,College Information,General,what is the mission of the college,"Vision: To be a center of excellence in technical and higher education. Mission: To provide value-based education, foster innovation and prepare students for global careers."
vision_mission,College Information,General,college vision and mission,"Vision: To be a center of excellence in technical and higher education. Mission: To provide value-based education, foster innovation and prepare students for global careers."
vision_mission,College Information,General,tell me the mission statement,"Vision: To be a center of excellence in technical and higher education. Mission: To provide value-based education, foster innovation and prepare students for global careers."
courses_btech,Courses & Programs,BTech,what btech courses are offered,"B.Tech (4 years, UG) is offered in: Computer Science Engineering, Information Technology, Electronics & Communication, Mechanical Engineering and Civil Engineering."
courses_btech,Courses & Programs,BTech,b.tech specializations available,"B.Tech (4 years, UG) is offered in: Computer Science Engineering, Information Technology, Electronics & Communication, Mechanical Engineering and Civil Engineering."
courses_btech,Courses & Programs,BTech,which engineering branches do you have,"B.Tech (4 years, UG) is offered in: Computer Science Engineering, Information Technology, Electronics & Communication, Mechanical Engineering and Civil Engineering."
courses_btech,Courses & Programs,BTech,list of b tech programs,"B.Tech (4 years, UG) is offered in: Computer Science Engineering, Information Technology, Electronics & Communication, Mechanical Engineering and Civil Engineering."
courses_btech,Courses & Programs,BTech,btech branches offered,"B.Tech (4 years, UG) is offered in: Computer Science Engineering, Information Technology, Electronics & Communication, Mechanical Engineering and Civil Engineering."
courses_bca,Courses & Programs,BCA,what is bca course,"BCA (Bachelor of Computer Applications, 3 years, UG) focuses on programming, web technologies, database management and software development fundamentals."
courses_bca,Courses & Programs,BCA,bca course details,"BCA (Bachelor of Computer Applications, 3 years, UG) focuses on programming, web technologies, database management and software development fundamentals."
courses_bca,Courses & Programs,BCA,tell me about bca program,"BCA (Bachelor of Computer Applications, 3 years, UG) focuses on programming, web technologies, database management and software development fundamentals."
courses_bca,Courses & Programs,BCA,bca subjects offered,"BCA (Bachelor of Computer Applications, 3 years, UG) focuses on programming, web technologies, database management and software development fundamentals."
courses_bca,Courses & Programs,BCA,is bca available here,"BCA (Bachelor of Computer Applications, 3 years, UG) focuses on programming, web technologies, database management and software development fundamentals."
courses_bsc,Courses & Programs,BSc,what bsc courses are offered,"B.Sc (3 years, UG) is offered in Computer Science, Mathematics, Physics and Biotechnology streams."
courses_bsc,Courses & Programs,BSc,bsc specializations available,"B.Sc (3 years, UG) is offered in Computer Science, Mathematics, Physics and Biotechnology streams."
courses_bsc,Courses & Programs,BSc,list of b.sc programs,"B.Sc (3 years, UG) is offered in Computer Science, Mathematics, Physics and Biotechnology streams."
courses_bsc,Courses & Programs,BSc,bsc subjects offered,"B.Sc (3 years, UG) is offered in Computer Science, Mathematics, Physics and Biotechnology streams."
courses_bsc,Courses & Programs,BSc,which science courses do you have,"B.Sc (3 years, UG) is offered in Computer Science, Mathematics, Physics and Biotechnology streams."
courses_mtech,Courses & Programs,MTech,what mtech courses are offered,"M.Tech (2 years, PG) is offered in: Computer Science & Engineering, VLSI Design, Structural Engineering and Thermal Engineering."
courses_mtech,Courses & Programs,MTech,m.tech specializations available,"M.Tech (2 years, PG) is offered in: Computer Science & Engineering, VLSI Design, Structural Engineering and Thermal Engineering."
